satellite,orbit_index,location_index,lat,lon,fire,user_request,start_utc,end_utc,duration_min
Global-19,398,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-04T14:06:00+00:00Z,2025-07-04T14:12:00+00:00Z,6.0
Global-19,413,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-04T19:04:00+00:00Z,2025-07-04T19:05:00+00:00Z,1.0
Global-19,414,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-04T20:40:00+00:00Z,2025-07-04T20:45:00+00:00Z,5.0
Global-19,445,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-05T13:18:00+00:00Z,2025-07-05T13:23:00+00:00Z,5.0
Global-19,446,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-05T14:58:00+00:00Z,2025-07-05T14:59:00+00:00Z,1.0
Global-19,449,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-05T19:51:00+00:00Z,2025-07-05T19:56:00+00:00Z,5.0
Global-19,450,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-05T21:30:00+00:00Z,2025-07-05T21:32:00+00:00Z,2.0
Global-19,482,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-06T12:29:00+00:00Z,2025-07-06T12:34:00+00:00Z,5.0
Global-19,483,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-06T14:08:00+00:00Z,2025-07-06T14:11:00+00:00Z,3.0
Global-19,497,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-06T19:02:00+00:00Z,2025-07-06T19:07:00+00:00Z,5.0
Global-19,498,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-06T20:40:00+00:00Z,2025-07-06T20:45:00+00:00Z,5.0
Global-19,518,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-07T11:40:00+00:00Z,2025-07-07T11:45:00+00:00Z,5.0
Global-19,519,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-07T13:18:00+00:00Z,2025-07-07T13:22:00+00:00Z,4.0
Global-19,533,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-07T18:14:00+00:00Z,2025-07-07T18:18:00+00:00Z,4.0
Global-19,534,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-07T19:51:00+00:00Z,2025-07-07T19:56:00+00:00Z,5.0
Global-19,565,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-08T10:52:00+00:00Z,2025-07-08T10:56:00+00:00Z,4.0
Global-19,566,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-08T12:29:00+00:00Z,2025-07-08T12:34:00+00:00Z,5.0
Global-19,569,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-08T17:26:00+00:00Z,2025-07-08T17:28:00+00:00Z,2.0
Global-19,570,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-08T19:02:00+00:00Z,2025-07-08T19:07:00+00:00Z,5.0
Global-19,602,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-09T11:39:00+00:00Z,2025-07-09T11:45:00+00:00Z,6.0
Global-19,617,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-09T18:13:00+00:00Z,2025-07-09T18:18:00+00:00Z,5.0
